Ano_0,Ano_1
1172.1223,1172.1223
1169.8485,1169.8485
1175.7493,1175.7493
1201.1428,1201.1428
1294.0869,1294.0869
1385.9747,1385.9747
1407.5511,1407.5511
1423.7554,1423.7554
1409.7424,1409.7424
1321.7938,1321.7938
1346.7617,1346.7617
1310.8314,1310.8314
1309.9131,1309.9131
1305.464,1305.464
1375.8632,1375.8632
1651.2487,1651.2487
1657.9314,1657.9314
1455.182,1455.182
1381.2961,1381.2961
1266.6531,1266.6531
1192.4984,1192.4984
1155.6726,1155.6726
1159.4816,1159.4816
1174.042,1174.042
1214.8943,1214.8943
1262.2218,1262.2218
1334.6915,1334.6915
1466.969,1466.969
1546.0974,1546.0974
1600.8348,1600.8348
1626.6488,1626.6488
1647.2833,1647.2833
1633.2145,1633.2145
1652.7533,1652.7533
1754.1395,1754.1395
1670.3716,1670.3716
1585.1173,1585.1173
1504.6565,1504.6565
1494.3027,1494.3027
1708.7087,1708.7087
1718.2681,1718.2681
1640.7554,1640.7554
1553.9954,1553.9954
1426.7906,1426.7906
1304.5236,1304.5236
1288.2129,1288.2129
1250.6434,1250.6434
1274.516,1274.516
1337.96,1337.96
1351.3986,1351.3986
1437.7256,1437.7256
1520.9113,1520.9113
1607.3214,1607.3214
1649.7407,1649.7407
1653.0128,1653.0128
1678.9956,1678.9956
1670.1298,1670.1298
1661.8811,1661.8811
1652.2396,1652.2396
1587.437,1587.437
1506.6078,1506.6078
1474.473,1474.473
1491.2776,1491.2776
1706.5999,1706.5999
1741.7902,1741.7902
1668.0626,1668.0626
1565.7076,1565.7076
1479.8302,1479.8302
1351.7916,1351.7916
1303.4923,1303.4923
1284.159,1284.159
1313.805,1313.805
1349.1849,1349.1849
1374.8699,1374.8699
1462.4177,1462.4177
1561.8643,1561.8643
1638.6123,1638.6123
1759.1309,1759.1309
1805.5697,1805.5697
1834.0747,1834.0747
1829.9222,1829.9222
1967.6711,1967.6711
1971.8015,1971.8015
1908.2053,1908.2053
1901.5901,1901.5901
1809.5634,1809.5634
1820.3513,1820.3513
1975.2952,1975.2952
1990.1284,1990.1284
1686.008,1686.008
1577.9839,1577.9839
1490.0121,1490.0121
1393.4711,1393.4711
1265.0464,1265.0464
1224.8082,1224.8082
1253.245,1253.245
1285.7885,1285.7885
1328.9113,1328.9113
1385.3085,1385.3085
1459.0286,1459.0286
1521.5,1521.5
1520.5853,1520.5853
1522.3372,1522.3372
1504.6748,1504.6748
1481.0148,1481.0148
1454.8431,1454.8431
1428.195,1428.195
1415.0813,1415.0813
1405.2097,1405.2097
1403.1084,1403.1084
1422.154,1422.154
1589.7345,1589.7345
1603.9996,1603.9996
1538.8533,1538.8533
1456.2119,1456.2119
1332.2416,1332.2416
1239.5084,1239.5084
1190.6019,1190.6019
1183.6578,1183.6578
1212.5046,1212.5046
1281.2828,1281.2828
1337.5856,1337.5856
1404.2373,1404.2373
1499.9313,1499.9313
1585.5382,1585.5382
1636.2069,1636.2069
1647.4465,1647.4465
1669.6956,1669.6956
1647.4233,1647.4233
1601.3987,1601.3987
1527.7534,1527.7534
1505.1781,1505.1781
1492.9358,1492.9358
1498.3931,1498.3931
1517.172,1517.172
1732.1422,1732.1422
1743.1527,1743.1527
1688.1257,1688.1257
1589.9484,1589.9484
1463.8414,1463.8414
1333.3517,1333.3517
1266.8358,1266.8358
1266.6823,1266.6823
1261.8967,1261.8967
1266.584,1266.584
1274.0687,1274.0687
1294.3884,1294.3884
1356.485,1356.485
1425.7251,1425.7251
1536.1654,1536.1654
1562.6017,1562.6017
1631.4011,1631.4011
1629.9452,1629.9452
1706.7336,1706.7336
1671.2206,1671.2206
1643.3198,1643.3198
1641.6047,1641.6047
1582.4915,1582.4915
1493.8597,1493.8597
1658.5155,1658.5155
1687.1361,1687.1361
1530.1047,1530.1047
1414.6892,1414.6892
1368.3875,1368.3875
1259.1976,1259.1976
1216.8638,1216.8638
1191.8488,1191.8488
1183.5543,1183.5543
1177.881,1177.881
1143.8,1143.8
1130.0516,1130.0516
1156.9723,1156.9723
1238.37,1238.37
1246.9841,1246.9841
1252.7175,1252.7175
1252.613,1252.613
1249.0308,1249.0308
1255.4856,1255.4856
1239.3634,1239.3634
1238.6167,1238.6167
1255.3782,1255.3782
1256.5239,1256.5239
1322.6477,1322.6477
1499.2035,1499.2035
1539.2921,1539.2921
1463.0951,1463.0951
1377.8883,1377.8883
1269.1606,1269.1606
1184.7169,1184.7169
1149.7216,1149.7216
1158.4288,1158.4288
1172.2328,1172.2328
1206.0499,1206.0499
1270.4791,1270.4791
1310.6428,1310.6428
1413.845,1413.845
1491.1322,1491.1322
1568.5149,1568.5149
1590.3735,1590.3735
1609.0371,1609.0371
1613.5479,1613.5479
1622.6466,1622.6466
1590.1779,1590.1779
1557.6088,1557.6088
1499.2368,1499.2368
1458.657,1458.657
1490.8754,1490.8754
1694.3065,1694.3065
1695.8121,1695.8121
1644.6539,1644.6539
1532.0027,1532.0027
1442.2439,1442.2439
1313.2401,1313.2401
1276.112,1276.112
1273.3091,1273.3091
1288.5779,1288.5779
1326.1304,1326.1304
1339.965,1339.965
1387.998,1387.998
1481.4691,1481.4691
1555.5099,1555.5099
1664.9915,1664.9915
1714.4899,1714.4899
1742.2742,1742.2742
1729.2274,1729.2274
1769.2306,1769.2306
1724.0209,1724.0209
1679.3313,1679.3313
1540.5837,1540.5837
1458.4528,1458.4528
1476.8411,1476.8411
1656.1268,1656.1268
1670.4448,1670.4448
1625.5331,1625.5331
1519.1814,1519.1814
1389.4612,1389.4612
1284.6199,1284.6199
1222.9543,1222.9543
1198.6168,1198.6168
1176.4227,1176.4227
1154.7489,1154.7489
1141.4058,1141.4058
1132.3965,1132.3965
1159.1392,1159.1392
1249.596,1249.596
1289.1038,1289.1038
1336.1177,1336.1177
1377.771,1377.771
1357.8357,1357.8357
1336.4105,1336.4105
1249.3812,1249.3812
1246.5088,1246.5088
1257.3236,1257.3236
1260.5037,1260.5037
1332.0648,1332.0648
1492.6907,1492.6907
1517.9355,1517.9355
1467.2616,1467.2616
1403.2668,1403.2668
1300.6287,1300.6287
1206.6829,1206.6829
1170.4713,1170.4713
1175.1714,1175.1714
1189.812,1189.812
1238.8787,1238.8787
1301.7848,1301.7848
1357.5223,1357.5223
1458.3401,1458.3401
1547.101,1547.101
1594.809,1594.809
1607.5458,1607.5458
1603.9117,1603.9117
1577.2357,1577.2357
1575.1482,1575.1482
1560.4067,1560.4067
1504.3146,1504.3146
1456.4106,1456.4106
1437.6736,1437.6736
1483.8499,1483.8499
1678.4355,1678.4355
1688.8663,1688.8663
1573.1626,1573.1626
1458.4752,1458.4752
1350.6447,1350.6447
1248.611,1248.611
1214.3932,1214.3932
1212.0375,1212.0375
1232.8033,1232.8033
1268.0786,1268.0786
1329.9858,1329.9858
1376.7971,1376.7971
1456.1084,1456.1084
1521.4153,1521.4153
1626.6487,1626.6487
1650.8951,1650.8951
1648.9032,1648.9032
1635.8127,1635.8127
1672.9564,1672.9564
1644.5728,1644.5728
1614.5459,1614.5459
1557.5422,1557.5422
1495.1359,1495.1359
1524.1348,1524.1348
1695.8562,1695.8562
1713.096,1713.096
1601.9548,1601.9548
1507.023,1507.023
1448.0841,1448.0841
1304.0009,1304.0009
1251.3098,1251.3098
1237.5159,1237.5159
1261.3102,1261.3102
1308.0162,1308.0162
1344.5549,1344.5549
1390.7573,1390.7573
1496.1755,1496.1755
1574.52,1574.52
1654.8008,1654.8008
1686.4758,1686.4758
1700.1895,1700.1895
1676.7184,1676.7184
1700.547,1700.547
1607.9854,1607.9854
1563.6982,1563.6982
1546.7448,1546.7448
1533.9901,1533.9901
1560.1353,1560.1353
1779.7692,1779.7692
1808.0995,1808.0995
1730.7167,1730.7167
1625.8861,1625.8861
1501.7363,1501.7363
1359.7019,1359.7019
1270.8025,1270.8025
1253.441,1253.441
1265.0315,1265.0315
1298.1699,1298.1699
1336.7026,1336.7026
1391.9917,1391.9917
1496.4247,1496.4247
1568.6738,1568.6738
1719.8914,1719.8914
1781.9802,1781.9802
1816.7554,1816.7554
1806.5522,1806.5522
1871.475,1871.475
1803.4059,1803.4059
1743.3384,1743.3384
1691.1555,1691.1555
1597.1808,1597.1808
1636.4117,1636.4117
1798.4835,1798.4835
1828.329,1828.329
1718.2927,1718.2927
1624.1705,1624.1705
1506.6272,1506.6272
1425.3962,1425.3962
1354.8024,1354.8024
1319.5303,1319.5303
1310.8768,1310.8768
1329.8278,1329.8278
1350.5134,1350.5134
1403.9901,1403.9901
1505.4761,1505.4761
1583.4934,1583.4934
1647.0166,1647.0166
1700.9362,1700.9362
1746.7448,1746.7448
1733.8993,1733.8993
1770.7673,1770.7673
1724.045,1724.045
1686.1577,1686.1577
1693.9753,1693.9753
1622.6649,1622.6649
1637.4904,1637.4904
1838.7557,1838.7557
1872.0203,1872.0203
1810.3492,1810.3492
1724.6881,1724.6881
1532.9727,1532.9727
1429.1895,1429.1895
1368.7457,1368.7457
1336.007,1336.007
1309.6707,1309.6707
1279.5302,1279.5302
1285.1682,1285.1682
1295.8113,1295.8113
1331.1775,1331.1775
1419.0521,1419.0521
1483.5842,1483.5842
1532.3203,1532.3203
1556.609,1556.609
1504.6226,1504.6226
1465.655,1465.655
1428.3309,1428.3309
1405.1024,1405.1024
1414.7501,1414.7501
1414.954,1414.954
1472.7354,1472.7354
1669.6238,1669.6238
1664.7163,1664.7163
1585.187,1585.187
1514.4785,1514.4785
1202.8413,1202.8413
1122.765,1122.765
1095.7272,1095.7272
1073.2637,1073.2637
1088.7993,1088.7993
1114.8975,1114.8975
1178.9613,1178.9613
1242.2251,1242.2251
1300.628,1300.628
1358.8522,1358.8522
1404.2897,1404.2897
