Ano_0,Ano_1,Ano_2
1351.8103,1351.8103,1351.8103
1607.008,1607.008,1607.008
1672.3936,1672.3936,1672.3936
1623.9725,1623.9725,1623.9725
1574.9996,1574.9996,1574.9996
1445.3585,1445.3585,1445.3585
1306.2094,1306.2094,1306.2094
1258.194,1258.194,1258.194
1186.1708,1186.1708,1186.1708
1198.8291,1198.8291,1198.8291
1235.7811,1235.7811,1235.7811
1258.0665,1258.0665,1258.0665
1384.1228,1384.1228,1384.1228
1506.5167,1506.5167,1506.5167
1555.3895,1555.3895,1555.3895
1599.3418,1599.3418,1599.3418
1625.1935,1625.1935,1625.1935
1648.3782,1648.3782,1648.3782
1636.105,1636.105,1636.105
1608.8694,1608.8694,1608.8694
1670.2827,1670.2827,1670.2827
1629.1295,1629.1295,1629.1295
1576.7753,1576.7753,1576.7753
1531.6542,1531.6542,1531.6542
1523.3834,1523.3834,1523.3834
1729.7711,1729.7711,1729.7711
1747.6051,1747.6051,1747.6051
1673.0082,1673.0082,1673.0082
1568.2084,1568.2084,1568.2084
1440.262,1440.262,1440.262
1304.4075,1304.4075,1304.4075
1264.496,1264.496,1264.496
1201.2435,1201.2435,1201.2435
1209.6396,1209.6396,1209.6396
1242.9163,1242.9163,1242.9163
1263.1067,1263.1067,1263.1067
1393.2216,1393.2216,1393.2216
1502.2607,1502.2607,1502.2607
1565.9259,1565.9259,1565.9259
1622.7803,1622.7803,1622.7803
1657.9915,1657.9915,1657.9915
1680.5767,1680.5767,1680.5767
1678.6682,1678.6682,1678.6682
1642.6173,1642.6173,1642.6173
1678.8634,1678.8634,1678.8634
1621.5323,1621.5323,1621.5323
1569.036,1569.036,1569.036
1543.4642,1543.4642,1543.4642
1544.916,1544.916,1544.916
1747.1451,1747.1451,1747.1451
1767.37,1767.37,1767.37
1679.0546,1679.0546,1679.0546
1577.9888,1577.9888,1577.9888
1460.752,1460.752,1460.752
1341.011,1341.011,1341.011
1292.4164,1292.4164,1292.4164
1248.8904,1248.8904,1248.8904
1259.434,1259.434,1259.434
1290.6353,1290.6353,1290.6353
1299.7521,1299.7521,1299.7521
1414.4983,1414.4983,1414.4983
